disease,id,c,d,e,f,g,h,i
"Cataract, Nuclear Progressive",MESH:C564596,OMIM:607304,,MESH:D002386,C11.510.245/C564596,C11.510.245,"CATARACT 27|CATARACT 27, NUCLEAR PROGRESSIVE|Cataract, Congenital, Nuclear Progressive|CCNP|CTRCT27",Eye disease
"Cataract, Nuclear Total",MESH:C566156,,,MESH:D002386,C11.510.245/C566156,C11.510.245,,Eye disease
"Cataract, Polymorphic and Lamellar",MESH:C563603,,,MESH:D002386,C11.510.245/C563603,C11.510.245,,Eye disease
"Cataract, posterior polar, 1",MESH:C535339,,,MESH:D002386,C11.510.245/C535339,C11.510.245,"Arcc2|Cataract, Age-Related Cortical, 2|Posterior polar cataract, 1",Eye disease
"Cataract, Posterior Polar, 2",MESH:C565134,,,MESH:D002386,C11.510.245/C565134,C11.510.245,,Eye disease
"Cataract, posterior polar, 3",MESH:C535343,OMIM:605387,,MESH:D002386,C11.510.245/C535343,C11.510.245,"CATARACT 31, MULTIPLE TYPES|CATARACT, POSTERIOR POLAR, 3|CPP3|CTPP3|CTRCT31",Eye disease
"Cataract, posterior polar, 4",MESH:C535344,OMIM:610623,,MESH:D002386,C11.510.245/C535344,C11.510.245,"CATARACT 11, MULTIPLE TYPES|CATARACT, POSTERIOR POLAR, 4|Cataract, Posterior Polar, 4, With Microphthalmia And Neurodevelopmental Abnormalities|CPP4 CATARACT 11 WITH MICROPHTHALMIA AND NEURODEVELOPMENTAL ABNORMALITIES, INCLUDED|CTPP4|CTRCT11|Posterior polar cataract, 4",Eye disease
"Cataract, posterior polar, 5",MESH:C535340,,,MESH:D002386,C11.510.245/C535340,C11.510.245,,Eye disease
"Cataract, Progressive Polymorphic Cortical",MESH:C565130,,,MESH:D002386,C11.510.245/C565130,C11.510.245,,Eye disease
"Cataract, Pulverulent",MESH:C563426,,,MESH:D002386|MESH:D015785,C11.270/C563426|C11.510.245/C563426|C16.320.290/C563426,C11.270|C11.510.245|C16.320.290,,Eye disease|Genetic disease (inborn)
"Cataract, Pulverulent, Juvenile-Onset",MESH:C565703,OMIM:610202,,MESH:D002386,C11.510.245/C565703,C11.510.245,"CATARACT 21, MULTIPLE TYPES|CATARACT 21, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA|Cataract, Congenital, Cerulean Type, 4|CATARACT, PULVERULENT, JUVENILE-ONSET|CCA4|CTRCT21",Eye disease
"Cataract, Punctate, Progressive Juvenile-Onset",MESH:C565131,,,MESH:D002386,C11.510.245/C565131,C11.510.245,,Eye disease
"Cataracts, ataxia, short stature, and mental retardation",MESH:C535345,,,MESH:D001259|MESH:D002386|MESH:D006130|MESH:D008607,C10.597.350.090/C535345|C10.597.606.360/C535345|C11.510.245/C535345|C23.550.393/C535345|C23.888.592.350.090/C535345|C23.888.592.604.646/C535345|F03.625.539/C535345,C10.597.350.090|C10.597.606.360|C11.510.245|C23.550.393|C23.888.592.350.090|C23.888.592.604.646|F03.625.539,"CASM Syndrome|Cataract, Ataxia, Short Stature, And Mental Retardation",Eye disease|Mental disorder|Nervous system disease|Pathology (process)|Signs and symptoms
"Cataracts, Congenital, with Sensorineural Deafness, Down Syndrome-Like Facial Appearance, Short Stature, and Mental Retardation",MESH:C563390,DO:DOID:0111688|OMIM:601088,,MESH:D002386|MESH:D006130|MESH:D006319|MESH:D008607|MESH:D019066,C09.218.458.341.887/C563390|C10.597.606.360/C563390|C10.597.751.418.341.887/C563390|C11.510.245/C563390|C23.550.291.812/C563390|C23.550.393/C563390|C23.888.592.604.646/C563390|C23.888.592.763.393.341.887/C563390|F03.625.539/C563390,C09.218.458.341.887|C10.597.606.360|C10.597.751.418.341.887|C11.510.245|C23.550.291.812|C23.550.393|C23.888.592.604.646|C23.888.592.763.393.341.887|F03.625.539,"AYGRP|AYME-GRIPP SYNDROME|CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKE FACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION",Ear-nose-throat disease|Eye disease|Mental disorder|Nervous system disease|Pathology (process)|Signs and symptoms
"CATARACTS, GROWTH HORMONE DEFICIENCY, SENSORY NEUROPATHY, SENSORINEURAL HEARING LOSS, AND SKELETAL DYSPLASIA",OMIM:616007,,,MESH:D002386|MESH:D004393|MESH:D006319|MESH:D009477|MESH:D010009,C05.116.099.343.445/616007|C05.116.099.708/616007|C05.116.132.358/616007|C09.218.458.341.887/616007|C10.228.140.617.738.300.300/616007|C10.500.250/616007|C10.574.500.493/616007|C10.597.751.418.341.887/616007|C10.668.829.800.175/616007|C11.510.245/616007|C16.131.666.310/616007|C16.320.400.415/616007|C16.320.728/616007|C19.297.312/616007|C19.700.482.311/616007|C23.888.592.763.393.341.887/616007,C05.116.099.343.445|C05.116.099.708|C05.116.132.358|C09.218.458.341.887|C10.228.140.617.738.300.300|C10.500.250|C10.574.500.493|C10.597.751.418.341.887|C10.668.829.800.175|C11.510.245|C16.131.666.310|C16.320.400.415|C16.320.728|C19.297.312|C19.700.482.311|C23.888.592.763.393.341.887,CAGSSS,Congenital abnormality|Ear-nose-throat disease|Endocrine system disease|Eye disease|Genetic disease (inborn)|Musculoskeletal disease|Nervous system disease|Signs and symptoms
"Cataract, Sutural, with Punctate and Cerulean Opacities",MESH:C564619,,,MESH:D002386,C11.510.245/C564619,C11.510.245,,Eye disease
"Cataract, Variable Zonular Pulverulent",MESH:C565132,,,MESH:D002386,C11.510.245/C565132,C11.510.245,,Eye disease
"Cataract, zonular",MESH:C535342,OMIM:116800,,MESH:D002386,C11.510.245/C535342,C11.510.245,"CAM|CATARACT 5, MULTIPLE TYPES|Cataract, lamellar|Cataract, Marner Type|CTM|CTRCT5|Perinuclear cataract",Eye disease
"Cataract, Zonular Central Nuclear",MESH:C565135,,,MESH:D002386,C11.510.245/C565135,C11.510.245,,Eye disease
"Cataract, Zonular Pulverulent 1",MESH:C566158,OMIM:116200,,MESH:D002386,C11.510.245/C566158,C11.510.245,"CAE1|CATARACT 1, MULTIPLE TYPES|CATARACT 1, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA|Cataract, Duffy-Linked|CATARACT, ZONULAR PULVERULENT, 1|CTRCT1|CZP|CZP1|Pulverulent Zonular Cataract",Eye disease
"Cataract, Zonular Pulverulent 3",MESH:C566608,OMIM:601885,,MESH:D002386,C11.510.245/C566608,C11.510.245,"CAE3|CATARACT 14, MULTIPLE TYPES|CATARACT, ZONULAR PULVERULENT 3|CTRCT14|CZP3",Eye disease
Catastrophic Illness,MESH:D002388,,An acute or prolonged illness usually considered to be life-threatening or with the threat of serious residual disability. Treatment may be radical and is frequently costly.,MESH:D020969,C23.550.291.250,C23.550.291,"Catastrophic Illnesses|Illness, Catastrophic|Illnesses, Catastrophic",Pathology (process)
Catatonia,MESH:D002389,,"A neuropsychiatric disorder characterized by one or more of the following essential features: immobility, mutism, negativism (active or passive refusal to follow commands), mannerisms, stereotypies, posturing, grimacing, excitement, echolalia, echopraxia, muscular rigidity, and stupor; sometimes punctuated by sudden violent outbursts, panic, or hallucinations. This condition may be associated with psychiatric illnesses (e.g., SCHIZOPHRENIA; MOOD DISORDERS) or organic disorders (NEUROLEPTIC MALIGNANT SYNDROME; ENCEPHALITIS, etc.). (From DSM-IV, 4th ed, 1994; APA, Thesaurus of Psychological Index Terms, 1994)",MESH:D019954,C10.597.606.115|C23.888.592.604.115,C10.597.606|C23.888.592.604,"Catatonia, Lethal|Catatonia, Malignant|Catatonia, Organic|Catatonias|Catatonia, Schizophreniform|Catatonias, Lethal|Catatonias, Malignant|Catatonias, Organic|Catatonias, Schizophreniform|Catatonic Disorder, Organic|Catatonic Disorders, Organic|Lethal Catatonia|Lethal Catatonias|Malignant Catatonia|Malignant Catatonias|Organic Catatonia|Organic Catatonias|Organic Catatonic Disorder|Organic Catatonic Disorders|Schizophreniform Catatonia|Schizophreniform Catatonias",Nervous system disease|Signs and symptoms
Catatrichy,MESH:C535346,,,MESH:D006201,C17.800.329/C535346,C17.800.329,Forelock,Skin disease
Cat Diseases,MESH:D002371,,"Diseases of the domestic cat (Felis catus or F. domesticus). This term does not include diseases of the so-called big cats such as CHEETAHS; LIONS; tigers, cougars, panthers, leopards, and other Felidae for which the heading CARNIVORA is used.",MESH:D000820,C22.180,C22,"Cat Disease|Disease, Cat|Disease, Feline|Diseases, Cat|Diseases, Feline|Feline Disease|Feline Diseases",Animal disease
Catel Manzke syndrome,MESH:C535347,DO:DOID:0081122,,MESH:D006228|MESH:D010855,C05.390.408/C535347|C05.500.460.606/C535347|C05.660.207.540.460.606/C535347|C05.660.585.988.425/C535347|C07.320.440.606/C535347|C07.650.500.460.606/C535347|C16.131.621.207.540.460.606/C535347|C16.131.621.585.988.500/C535347|C16.131.850.500.460.606/C535347,C05.390.408|C05.500.460.606|C05.660.207.540.460.606|C05.660.585.988.425|C07.320.440.606|C07.650.500.460.606|C16.131.621.207.540.460.606|C16.131.621.585.988.500|C16.131.850.500.460.606,"Catel-Manzke Syndrome|Hyperphalangy-clinodactyly of index finger with Pierre Robin syndrome|Index Finger Anomaly With Pierre Robin Syndrome|Palatodigital syndrome, Catel-Manzke type|Pierre Robin syndrome with hyperphalangy and clinodactyly",Congenital abnormality|Mouth disease|Musculoskeletal disease
CATEL-MANZKE SYNDROME,OMIM:616145,DO:DOID:0081122,,MESH:C535347,C05.390.408/C535347/616145|C05.500.460.606/C535347/616145|C05.660.207.540.460.606/C535347/616145|C05.660.585.988.425/C535347/616145|C07.320.440.606/C535347/616145|C07.650.500.460.606/C535347/616145|C16.131.621.207.540.460.606/C535347/616145|C16.131.621.585.988.500/C535347/616145|C16.131.850.500.460.606/C535347/616145,C05.390.408/C535347|C05.500.460.606/C535347|C05.660.207.540.460.606/C535347|C05.660.585.988.425/C535347|C07.320.440.606/C535347|C07.650.500.460.606/C535347|C16.131.621.207.540.460.606/C535347|C16.131.621.585.988.500/C535347|C16.131.850.500.460.606/C535347,"CATMANS|HYPERPHALANGY-CLINODACTYLY OF INDEX FINGER WITH PIERRE ROBIN SYNDROME|INDEX FINGER ANOMALY WITH PIERRE ROBIN SYNDROME|MICROGNATHIA DIGITAL SYNDROME|PALATODIGITAL SYNDROME, CATEL-MANZKE TYPE|PIERRE ROBIN SYNDROME WITH HYPERPHALANGY AND CLINODACTYLY",Congenital abnormality|Mouth disease|Musculoskeletal disease
Catheter-Related Infections,MESH:D055499,,"Infections resulting from the use of catheters. Proper aseptic technique, site of catheter placement, material composition, and virulence of the organism are all factors that can influence possible infection.",MESH:D007239,C01.195,C01,"Associated Infection, Catheter|Associated Infections, Catheter|Catheter Associated Infection|Catheter-Associated Infection|Catheter Associated Infections|Catheter-Associated Infections|Catheter Related Infection|Catheter-Related Infection|Catheter Related Infections|Infection, Catheter Associated|Infection, Catheter-Associated|Infection, Catheter Related|Infection, Catheter-Related|Infections, Catheter Associated|Infections, Catheter-Associated|Infections, Catheter Related|Infections, Catheter-Related|Related Infection, Catheter|Related Infections, Catheter",
Cat-Scratch Disease,MESH:D002372,DO:DOID:11258,"A self-limiting bacterial infection of the regional lymph nodes caused by AFIPIA felis, a gram-negative bacterium recently identified by the Centers for Disease Control and Prevention and by BARTONELLA HENSELAE. It usually arises one or more weeks following a feline scratch, with raised inflammatory nodules at the site of the scratch being the primary symptom.",MESH:D001474|MESH:D008199,C01.150.252.400.126.100.150|C15.604.315.249,C01.150.252.400.126.100|C15.604.315,"Bartonella henselae Infection|Bartonella henselae Infections|Catscratch Disease|Cat Scratch Disease|Catscratch Diseases|Cat Scratch Diseases|Cat-Scratch Diseases|Cat Scratch Fever|Cat Scratch Fevers|Fever, Cat Scratch|Infection, Bartonella henselae|Infections, Bartonella henselae|Inoculation Lymphoreticuloses|Inoculation Lymphoreticulosis|Inoculative Lymphoreticuloses|Inoculative Lymphoreticulosis|Lymphoreticuloses, Inoculation|Lymphoreticuloses, Inoculative|Lymphoreticulosis, Inoculation|Lymphoreticulosis, Inoculative|Scratch Disease, Cat|Scratch Diseases, Cat|Scratch Fever, Cat",Bacterial infection or mycosis|Lymphatic disease
CATSHL syndrome,MESH:C537975,DO:DOID:0111160|OMIM:610474,,MESH:D001848|MESH:D006228|MESH:D034381,C05.116.099/C537975|C05.390.408/C537975|C05.660.585.988.425/C537975|C09.218.458.341/C537975|C10.597.751.418.341/C537975|C16.131.621.585.988.500/C537975|C23.888.592.763.393.341/C537975,C05.116.099|C05.390.408|C05.660.585.988.425|C09.218.458.341|C10.597.751.418.341|C16.131.621.585.988.500|C23.888.592.763.393.341,"Camptodactyly, tall stature, and hearing loss syndrome|CATSHLS|CATSHL SYNDROME",Congenital abnormality|Ear-nose-throat disease|Musculoskeletal disease|Nervous system disease|Signs and symptoms
Catsper1-Related Nonsyndromic Male Infertility,MESH:C579978,,,MESH:D007248,C12.100.500.430/C579978|C12.100.750.700/C579978|C12.200.294.430/C579978,C12.100.500.430|C12.100.750.700|C12.200.294.430,Catsper1-Related Male Infertility|Catsper-Related Nonsyndromic Male Infertility,Urogenital disease (male)
Cattle Diseases,MESH:D002418,,"Diseases of domestic cattle of the genus Bos. It includes diseases of cows, yaks, and zebus.",MESH:D000820,C22.196,C22,"Bovine Disease|Bovine Diseases|Cattle Disease|Disease, Bovine|Disease, Cattle|Diseases, Bovine|Diseases, Cattle",Animal disease
Cauda Equina Syndrome,MESH:D000077684,DO:DOID:11577,"Compressive lesion affecting the nerve roots of the CAUDA EQUINA (e.g., compression, herniation, inflammation, rupture, or stenosis), which controls the function of the bladder and bowel. Symptoms may include neurological dysfunction of bladder or bowels, loss of sexual sensation and altered sensation or paralysis in the lower extremities.",MESH:D009408|MESH:D011129,C10.668.829.550.350|C10.668.829.800.750.150,C10.668.829.550|C10.668.829.800.750,Cauda Equina Syndromes,Nervous system disease
Caudal Duplication Anomaly,MESH:C564315,OMIM:607864,,MESH:D000013,C16.131/C564315,C16.131,,Congenital abnormality
Causalgia,MESH:D002422,DO:DOID:3222,"A complex regional pain syndrome characterized by burning pain and marked sensitivity to touch (HYPERESTHESIA) in the distribution of an injured peripheral nerve. Autonomic dysfunction in the form of sudomotor (i.e., sympathetic innervation to sweat glands), vasomotor, and trophic skin changes may also occur. (Adams et al., Principles of Neurology, 6th ed, p1359)",MESH:D009437|MESH:D020918,C10.177.195.200|C10.668.829.250.200|C10.668.829.600.200,C10.177.195|C10.668.829.250|C10.668.829.600,"Causalgia Syndrome|Causalgia Syndromes|Complex Regional Pain Syndrome Type II|CRPS Type II|Deafferentation Pain|Pain, Deafferentation|Syndrome, Causalgia|Syndromes, Causalgia|Type II Complex Regional Pain Syndrome",Nervous system disease
Cavernous Malformations of CNS and Retina,MESH:C566152,,,MESH:D020785,C10.500.190/C566152|C14.240.850.875/C566152|C16.131.240.850.875/C566152|C16.131.666.190/C566152,C10.500.190|C14.240.850.875|C16.131.240.850.875|C16.131.666.190,,Cardiovascular disease|Congenital abnormality|Nervous system disease
Cavernous Sinus Thrombosis,MESH:D020226,DO:DOID:3575,"Formation or presence of a blood clot (THROMBUS) in the CAVERNOUS SINUS of the brain. Infections of the paranasal sinuses and adjacent structures, CRANIOCEREBRAL TRAUMA, and THROMBOPHILIA are associated conditions. Clinical manifestations include dysfunction of cranial nerves III, IV, V, and VI, marked periorbital swelling, chemosis, fever, and visual loss. (From Adams et al., Principles of Neurology, 6th ed, p711)",MESH:D012851,C10.228.140.300.525.425.500.375|C14.907.253.566.350.500.375|C14.907.355.590.213.350.500.375,C10.228.140.300.525.425.500|C14.907.253.566.350.500|C14.907.355.590.213.350.500,"Cavernous Sinus, Phlebitis, Septic|Cavernous Sinus Thrombophlebitides|Cavernous Sinus Thrombophlebitis|Cavernous Sinus Thromboses|Caverous Sinus Septic Phlebitis|Phlebitis, Cavernous Sinus, Septic|Septic Phlebitis, Cavernous Sinus|Sinus Thrombophlebitides, Cavernous|Sinus Thrombophlebitis, Cavernous|Sinus Thromboses, Cavernous|Sinus Thrombosis, Cavernous|Thrombophlebitides, Cavernous Sinus|Thrombophlebitis, Cavernous Sinus|Thromboses, Cavernous Sinus|Thrombosis, Cavernous Sinus",Cardiovascular disease|Nervous system disease
Cavitary Optic Disc Anomalies,MESH:C566924,OMIM:611543,,MESH:D015785,C11.270/C566924|C16.320.290/C566924,C11.270|C16.320.290,Cavitary Optic Disk Anomalies|CODA,Eye disease|Genetic disease (inborn)
Cayler cardiofacial syndrome,MESH:C535349,OMIM:125520,,MESH:D005158,C07.465.327/C535349|C10.597.622.214/C535349|C23.888.592.636.214/C535349,C07.465.327|C10.597.622.214|C23.888.592.636.214,"ACF|Asymmetric crying facies|Cayler's syndrome|Cayler syndrome|Depressor Anguli Oris Muscle, Hypoplasia Of|Facial paresis partial unilateral|Facial Paresis, Partial, Unilateral|Partial unilateral facial paralysis",Mouth disease|Nervous system disease|Signs and symptoms
Cd4+ Lymphocyte Deficiency,MESH:C566079,,,MESH:D007153|MESH:D007960,C15.378.553/C566079|C20.673/C566079,C15.378.553|C20.673,,Blood disease|Immune system disease
CD59 Deficiency,MESH:C567355,OMIM:612300,,MESH:D000743|MESH:D006456,C12.050.351.968.934.734.634/C567355|C12.200.777.934.734.634/C567355|C12.950.934.734.634/C567355|C15.378.071.141/C567355|C23.888.942.750.634/C567355,C12.050.351.968.934.734.634|C12.200.777.934.734.634|C12.950.934.734.634|C15.378.071.141|C23.888.942.750.634,"CD59 DEFICIENCY|HACD59|HEMOLYTIC ANEMIA, CD59-MEDIATED, WITH OR WITHOUT IMMUNE-MEDIATED POLYNEUROPATHY",Blood disease|Signs and symptoms|Urogenital disease (female)|Urogenital disease (male)
"CD8 Deficiency, Familial",MESH:C563824,OMIM:608957,,MESH:D000081207,C16.320.798/C563824|C20.673.795/C563824,C16.320.798|C20.673.795,,Genetic disease (inborn)|Immune system disease
CDKL5 deficiency disorder,MESH:C564064,OMIM:300672,,MESH:D000073376|MESH:D013036,C10.228.140.490.375.760/C564064|C10.228.140.490.493.875/C564064|C10.228.140.490.493/C564064,C10.228.140.490.375.760|C10.228.140.490.493|C10.228.140.490.493.875,"CDKL5 Disorder|DEE2|DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2|EIEE2|Epileptic Encephalopathy, Early Infantile, 2|Infantile Spasm Syndrome, X-Linked 2|ISSX2|Rett Syndrome, Atypical, Cdkl5-Related|Rett Syndrome, Variant, With Infantile Spasms",Nervous system disease
Cecal Diseases,MESH:D002429,DO:DOID:1518,Pathological developments in the CECUM.,MESH:D007410,C06.405.469.110,C06.405.469,"Cecal Disease|Disease, Cecal|Diseases, Cecal",Digestive system disease
Cecal Neoplasms,MESH:D002430,DO:DOID:1517|DO:DOID:1521,Tumors or cancer of the CECUM.,MESH:D002429|MESH:D007414,C04.588.274.476.411.184|C06.301.371.411.184|C06.405.249.411.184|C06.405.469.110.417|C06.405.469.491.184,C04.588.274.476.411|C06.301.371.411|C06.405.249.411|C06.405.469.110|C06.405.469.491,"Cancer, Cecal|Cancer of Cecum|Cancer of the Cecum|Cecal Cancer|Cecal Neoplasm|Neoplasm, Cecal|Neoplasms, Cecal",Cancer|Digestive system disease
Celiac Disease,MESH:D002446,DO:DOID:10608|OMIM:212750|OMIM:607202|OMIM:609753|OMIM:609754|OMIM:609755|OMIM:611598|OMIM:612005|OMIM:612006|OMIM:612007|OMIM:612008|OMIM:612009|OMIM:612010|OMIM:612011,"A malabsorption syndrome that is precipitated by the ingestion of foods containing GLUTEN, such as wheat, rye, and barley. It is characterized by INFLAMMATION of the SMALL INTESTINE, loss of MICROVILLI structure, failed INTESTINAL ABSORPTION, and MALNUTRITION.",MESH:D008286,C06.405.469.637.250|C18.452.603.250,C06.405.469.637|C18.452.603,"AIS5, INCLUDED|CELIAC1|CELIAC10|CELIAC11|CELIAC12|CELIAC13|CELIAC2|CELIAC3|CELIAC4|CELIAC5|CELIAC6|CELIAC7|CELIAC8|CELIAC9|CELIAC DISEASE, SUSCEPTIBILITY TO, 1|CELIAC DISEASE, SUSCEPTIBILITY TO, 10|CELIAC DISEASE, SUSCEPTIBILITY TO, 11|CELIAC DISEASE, SUSCEPTIBILITY TO, 12|CELIAC DISEASE, SUSCEPTIBILITY TO, 13|CELIAC DISEASE, SUSCEPTIBILITY TO, 2|CELIAC DISEASE, SUSCEPTIBILITY TO, 3|CELIAC DISEASE, SUSCEPTIBILITY TO, 4|CELIAC DISEASE, SUSCEPTIBILITY TO, 5|CELIAC DISEASE, SUSCEPTIBILITY TO, 6|CELIAC DISEASE, SUSCEPTIBILITY TO, 7|CELIAC DISEASE, SUSCEPTIBILITY TO, 8|CELIAC DISEASE, SUSCEPTIBILITY TO, 9|Celiac Sprue|CELIAC SPRUE, SUSCEPTIBILITY TO, 1|Disease, Celiac|Enteropathies, Gluten|Enteropathies, Gluten-Sensitive|Enteropathy, Gluten|Enteropathy, Gluten-Sensitive|Gluten Enteropathies|Gluten Enteropathy|Gluten-Sensitive Enteropathies|Gluten Sensitive Enteropathy|Gluten-Sensitive Enteropathy|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 1|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 10|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 11|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 12|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 13|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 2|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 3|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 4|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 5|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 6  AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 5, INCLUDED|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 7|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 8|GLUTEN-SENSITIVE ENTEROPATHY, SUSCEPTIBILITY TO, 9|GSES|Nontropical Sprue|Sprue|Sprue, Celiac|Sprue, Nontropical",Digestive system disease|Metabolic disease
cell-associated neurotoxicity,MESH:C000722498,,,MESH:D020258,C10.720/C000722498|C25.723.705/C000722498,C10.720|C25.723.705,immune effector cell-associated neurotoxicity syndrome,Nervous system disease
"Cell Transformation, Neoplastic",MESH:D002471,OMIM:614401,"Cell changes manifested by escape from control mechanisms, increased growth potential, alterations in the cell surface, karyotypic abnormalities, morphological and biochemical deviations from the norm, and other attributes conferring the ability to invade, metastasize, and kill.",MESH:D063646,C04.697.098.500|C23.550.727.098.500,C04.697.098|C23.550.727.098,"ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO|ACTFS|Cell Neoplastic Transformation|Cell Neoplastic Transformations|Cell Transformations, Neoplastic|Neoplastic Cell Transformation|Neoplastic Cell Transformations|Neoplastic Transformation, Cell|Neoplastic Transformations, Cell|Transformation, Cell Neoplastic|Transformation, Neoplastic Cell|Transformations, Cell Neoplastic|Transformations, Neoplastic Cell|Transformations, Tumorigenic|Transformation, Tumorigenic|Tumorigenic Transformation|Tumorigenic Transformations",Cancer|Pathology (process)
"Cell Transformation, Viral",MESH:D002472,,An inheritable change in cells manifested by changes in cell division and growth and alterations in cell surface properties. It is induced by infection with a transforming virus.,MESH:D002471,C04.697.098.500.160|C23.550.727.098.500.160,C04.697.098.500|C23.550.727.098.500,"Cell Transformations, Viral|Transformations, Viral Cell|Transformation, Viral Cell|Viral Cell Transformation|Viral Cell Transformations",Cancer|Pathology (process)
Cellulite,MESH:D000071697,,"Skin lumpiness or skin surface dimpling often seen on the thighs, buttocks and abdomen. It is due to protrusion of SUBCUTANEOUS FAT into the DERMIS layer of skin.",MESH:D012877,C23.888.885.281,C23.888.885,Cellulites,Signs and symptoms
Cellulitis,MESH:D002481,DO:DOID:3488,"An acute, diffuse, and suppurative inflammation of loose connective tissue, particularly the deep subcutaneous tissues, and sometimes muscle, which is most commonly seen as a result of infection of a wound, ulcer, or other skin lesions.",MESH:D003240|MESH:D012874|MESH:D013492,C01.800.130|C01.830.200|C17.300.185|C23.550.470.756.200,C01.800|C01.830|C17.300|C23.550.470.756,Phlegmon,Connective tissue disease|Pathology (process)
Cementoma,MESH:D002485,,An odontogenic fibroma in which cells have developed into cementoblasts and which consists largely of cementum.,MESH:D009808,C04.557.695.210,C04.557.695,"Cementifying Fibroma, Mandibular|Cementifying Fibroma, Maxillary|Cementifying Fibroma of Mandible|Cementifying Fibroma of Maxilla|Cementifying Fibromas, Mandibular|Cementifying Fibromas, Maxillary|Cementomas|Cemento Ossifying Fibroma|Cemento-Ossifying Fibroma|Cemento-Ossifying Fibromas|Dysplasia, Periapical Fibrous|Fibroma, Cemento-Ossifying|Fibroma, Mandibular Cementifying|Fibroma, Maxillary Cementifying|Fibrous Dysplasia, Periapical|Fibrous Dysplasias, Periapical|Mandible Cementifying Fibroma|Mandible Cementifying Fibromas|Mandible Ossifying Fibroma|Mandible Ossifying Fibromas|Mandibular Cementifying Fibroma|Mandibular Cementifying Fibromas|Maxilla Cementifying Fibroma|Maxilla Cementifying Fibromas|Maxilla Ossifying Fibroma|Maxilla Ossifying Fibromas|Maxillary Cementifying Fibroma|Maxillary Cementifying Fibromas|Ossifying Fibroma of Mandible|Ossifying Fibroma of Maxilla|Periapical Fibrous Dysplasia|Periapical Fibrous Dysplasias",Cancer
Central Cord Syndrome,MESH:D020210,,"A syndrome associated with traumatic injury to the cervical or upper thoracic regions of the spinal cord characterized by weakness in the arms with relative sparing of the legs and variable sensory loss. This condition is associated with ischemia, hemorrhage, or necrosis involving the central portions of the spinal cord. Corticospinal fibers destined for the legs are spared due to their more external location in the spinal cord. This clinical pattern may emerge during recovery from spinal shock. Deficits may be transient or permanent.",MESH:D013119,C10.228.854.763.500|C10.900.850.625|C26.819.339,C10.228.854.763|C10.900.850|C26.819,Central Cord Injury Syndrome|Central Spinal Cord Syndrome,Nervous system disease|Wounds and injuries
Central Nervous System Bacterial Infections,MESH:D020806,,"Bacterial infections of the brain, spinal cord, and meninges, including infections involving the perimeningeal spaces.",MESH:D001424|MESH:D002494,C01.150.252.223|C01.207.180|C10.228.228.180,C01.150.252|C01.207|C10.228.228,"Bacterial Infections, Central Nervous System|Infections, Bacterial, Central Nervous System",Bacterial infection or mycosis|Nervous system disease
Central Nervous System Cysts,MESH:D020863,,"Congenital or acquired cysts of the brain, spinal cord, or meninges which may remain stable in size or undergo progressive enlargement.",MESH:D009421|MESH:D016543,C04.588.614.250.387|C10.500.142|C10.551.240.375|C16.131.666.142,C04.588.614.250|C10.500|C10.551.240|C16.131.666,"Cleft Cyst, Rathke|Cleft Cyst, Rathke's|Cleft Cysts, Rathke's|CNS Cyst|CNS Cysts|Cyst, CNS|Cyst, Rathke Cleft|Cyst, Rathke's Cleft|Cysts, Central Nervous System|Cysts, CNS|Cysts, Rathke Cleft|Cysts, Suprasellar|Cyst, Suprasellar|Rathke Cleft Cyst|Rathke Cleft Cysts|Rathke's Cleft Cyst|Rathkes Cleft Cyst|Rathke's Cleft Cysts|Rathkes Cleft Cysts|Suprasellar Cyst|Suprasellar Cysts",Cancer|Congenital abnormality|Nervous system disease
Central Nervous System Diseases,MESH:D002493,DO:DOID:331,"Diseases of any component of the brain (including the cerebral hemispheres, diencephalon, brain stem, and cerebellum) or the spinal cord.",MESH:D009422,C10.228,C10,Central Nervous System Disease|Central Nervous System Disorder|Central Nervous System Disorders|CNS Disease|CNS Diseases,Nervous system disease
